question,answer,intent,page_link
"What are the admission requirements?|Quels sont les critères d'admission ?","To join ISET Sfax, you must have completed high school with a recognized diploma (e.g., Tunisian Baccalaureate or equivalent) and submit a complete application file, including transcripts, a copy of your ID, and a recent photo, via the ISET online portal. Specific programs may require minimum grades or entrance exams. Visit our programs page for detailed eligibility criteria.|Pour rejoindre l'ISET Sfax, vous devez avoir terminé vos études secondaires avec un diplôme reconnu (par exemple, le baccalauréat tunisien ou équivalent) et soumettre un dossier complet, incluant relevés de notes, une copie de votre carte d'identité et une photo récente, via le portail en ligne de l'ISET. Certains programmes peuvent exiger des notes minimales ou des examens d'entrée. Visitez notre page de formations pour les critères d'éligibilité détaillés.","admission","https://isetsf.rnu.tn/fr/formations-top"
"How do I register for courses?|Comment m'inscrire aux cours ?","Course registration is straightforward! Log in to the ISET student portal with your credentials, select your courses from the available list, and confirm your choices before the deadline, typically one month before the semester starts. Ensure you’ve met any prerequisites and paid your tuition fees. For guidance, check the registration page or contact registrar@isetsf.rnu.tn.|L'inscription aux cours est simple ! Connectez-vous au portail étudiant ISET avec vos identifiants, sélectionnez vos cours dans la liste disponible et confirmez vos choix avant la date limite, généralement un mois avant le début du semestre. Assurez-vous d'avoir satisfait aux prérequis et réglé vos frais de scolarité. Pour plus d'informations, consultez la page d'inscription ou contactez registrar@isetsf.rnu.tn.","registration","https://isetsf.rnu.tn/fr/registration"
"Where can I find the academic calendar?|Où puis-je trouver le calendrier académique ?","The academic calendar, outlining key dates like registration periods, exam sessions, and holidays, is accessible in the 'Student Zone' on our website. For example, the 2025-2026 semester typically starts in September and ends in June, with exams in January and June. Download the calendar for precise dates.|Le calendrier académique, qui détaille les dates clés telles que les périodes d'inscription, les sessions d'examens et les jours fériés, est accessible dans la 'Zone Étudiant' sur notre site. Par exemple, le semestre 2025-2026 commence généralement en septembre et se termine en juin, avec des examens en janvier et juin. Téléchargez le calendrier pour les dates précises.","calendar","https://isetsf.rnu.tn/fr/calendar"
"What is the academic contact information?|Quelles sont les coordonnées académiques ?","For academic inquiries, reach out to our administrative team at contact@isetsf.rnu.tn or call +216 74 241 388. Our office is open Monday to Friday, 8 AM to 4 PM. Visit the 'Contact Us' page for more details or to submit an inquiry form.|Pour toute question académique, contactez notre équipe administrative à contact@isetsf.rnu.tn ou appelez le +216 74 241 388. Notre bureau est ouvert du lundi au vendredi, de 8h à 16h. Visitez la page 'Contactez-nous' pour plus de détails ou pour soumettre un formulaire de demande.","contact","https://isetsf.rnu.tn/fr/contactez-nous"
"What events or news are happening at ISET?|Quelles sont les actualités ou manifestations à l'ISET ?","Stay informed about ISET Sfax’s latest events, such as academic conferences, career fairs, and student festivals, by visiting our 'News and Events' page. Recent highlights include the 2025 Tech Innovation Summit and annual student gala. Subscribe to our newsletter for updates!|Restez informé des derniers événements de l'ISET Sfax, tels que les conférences académiques, les salons de l'emploi et les festivals étudiants, en visitant notre page 'Actualités et Manifestations'. Parmi les temps forts récents, citons le Sommet de l'Innovation Technologique 2025 et le gala annuel des étudiants. Abonnez-vous à notre newsletter pour les mises à jour !","actualites","https://isetsf.rnu.tn/fr/actualites/manifestations"
"What programs are offered at ISET Sfax?|Quels programmes sont proposés à l'ISET Sfax ?","ISET Sfax offers diverse programs, including National Licenses in Computer Technology, Civil Engineering, and Economics, as well as Professional Master’s degrees in fields like Cloud Computing and Supply Chain Management. All programs are accredited and designed for industry relevance. Explore our programs page for details.|L'ISET Sfax propose une gamme variée de programmes, incluant des Licences Nationales en Technologie de l'Informatique, Génie Civil et Économie, ainsi que des Mastères Professionnels dans des domaines comme l'Informatique en Nuage et la Gestion de la Chaîne d'Approvisionnement. Tous les programmes sont accrédités et conçus pour répondre aux besoins de l'industrie. Explorez notre page de formations pour plus de détails.","programs","https://isetsf.rnu.tn/fr/formations-top"
"Where can I find archived news?|Où puis-je trouver les actualités archivées ?","Browse our 'News Archives' page for past announcements, such as previous academic events, partnership agreements, or student achievements. Archives date back to 2020 and are searchable by year or category.|Parcourez notre page 'Archives des annonces' pour consulter les annonces passées, telles que les événements académiques, les accords de partenariat ou les réussites étudiantes. Les archives remontent à 2020 et sont consultables par année ou catégorie.","archives","https://isetsf.rnu.tn/fr/actualites/archives-des-annonces"
"How can I view tenders and consultations?|Comment consulter les appels d'offres et consultations ?","Our 'Tenders and Consultations' page lists current opportunities for businesses and researchers to collaborate with ISET Sfax. Recent tenders include IT infrastructure upgrades and research partnerships. Check the page regularly for deadlines and application details.|Notre page 'Appels d'offres et consultations' répertorie les opportunités actuelles pour les entreprises et chercheurs souhaitant collaborer avec l'ISET Sfax. Les appels récents incluent des mises à niveau des infrastructures informatiques et des partenariats de recherche. Consultez la page régulièrement pour les dates limites et les détails de candidature.","tenders","https://isetsf.rnu.tn/fr/actualites/appels-doffres-et-consultations"
"What training programs are available at ISET Sfax?|Quels programmes de formation sont disponibles à l'ISET Sfax ?","ISET Sfax offers undergraduate and graduate programs, as well as continuing education and certifications in fields like IT, engineering, and management. Highlights include our Microsoft and SolidWorks certifications. Visit our training page for a full list and application details.|L'ISET Sfax propose des programmes de premier et deuxième cycle, ainsi que des formations continues et des certifications dans des domaines comme l'informatique, l'ingénierie et la gestion. Parmi les points forts, citons nos certifications Microsoft et SolidWorks. Visitez notre page de formations pour une liste complète et les détails de candidature.","training","https://isetsf.rnu.tn/fr/actualites/decouvrez-les-formations-assurees-par-l-iset-de-sfax-doffres-et-consultations"
"Who are ISET’s academic partners?|Qui sont les partenaires académiques de l'ISET ?","ISET Sfax collaborates with global institutions like the University of Tunis and international universities in France and Germany, fostering exchange programs and joint research. Learn more about our academic partnerships on our dedicated page.|L'ISET Sfax collabore avec des institutions mondiales comme l'Université de Tunis et des universités internationales en France et en Allemagne, favorisant les programmes d'échange et la recherche conjointe. Découvrez nos partenariats académiques sur notre page dédiée.","academic_partners","https://isetsf.rnu.tn/fr/actualites/partenaires-academiques"
"Who are ISET’s professional partners?|Qui sont les partenaires professionnels de l'ISET ?","Our professional partners include leading companies like Tunisie Telecom and Sfax-based tech firms, offering internships and job placements. Explore our network of industry partners on our website for collaboration opportunities.|Nos partenaires professionnels incluent des entreprises de premier plan comme Tunisie Telecom et des entreprises technologiques basées à Sfax, offrant des stages et des placements professionnels. Découvrez notre réseau de partenaires industriels sur notre site pour des opportunités de collaboration.","professional_partners","https://isetsf.rnu.tn/fr/actualites/partenaires-professionnels"
"What is the structure of ISET’s training programs?|Quelle est la structure des programmes de formation de l'ISET ?","Our training programs are organized into National Licenses (3 years) and Professional Master’s degrees (2 years), with specializations in economics, engineering, and IT. The organigram on our website details the curriculum and pathways for each program.|Nos programmes de formation sont organisés en Licences Nationales (3 ans) et Mastères Professionnels (2 ans), avec des spécialisations en économie, ingénierie et informatique. L'organigramme sur notre site détaille le curriculum et les parcours pour chaque programme.","training_structure","https://isetsf.rnu.tn/fr/formation/organigramme-de-formation"
"What is the National License in Accounting and Finance?|Qu'est-ce que la Licence Nationale en Comptabilité et Finances ?","This 3-year program trains students in financial reporting, auditing, and budgeting, with courses like Financial Accounting and Corporate Finance. Graduates are prepared for roles in banking and corporate finance. Visit our website for admission details.|Ce programme de 3 ans forme les étudiants à la comptabilité financière, l'audit et la budgétisation, avec des cours comme la Comptabilité Financière et la Finance d'Entreprise. Les diplômés sont préparés pour des rôles dans la banque et la finance d'entreprise. Visitez notre site pour les détails d'admission.","accounting_finance","https://isetsf.rnu.tn/fr/formation/licence-nationale/sciences-economiques-et-de-gestion/comptabilite-finances"
"What is the National License in Management?|Qu'est-ce que la Licence Nationale en Management ?","The National License in Management develops skills in leadership, marketing, and operations. The 3-year curriculum includes Strategic Management and Organizational Behavior, preparing students for managerial roles. Learn more on our program page.|La Licence Nationale en Management développe des compétences en leadership, marketing et opérations. Le curriculum de 3 ans inclut la Gestion Stratégique et le Comportement Organisationnel, préparant les étudiants à des rôles de gestion. En savoir plus sur notre page de programme.","management","https://isetsf.rnu.tn/fr/formation/licence-nationale/sciences-economiques-et-de-gestion/management"
"What is the National License in Commerce and Distribution?|Qu'est-ce que la Licence Nationale en Commerce et Distribution ?","This program focuses on marketing, logistics, and retail management over 3 years, with courses like Supply Chain Management and Consumer Behavior. Graduates excel in sales and distribution roles. Explore the details online.|Ce programme se concentre sur le marketing, la logistique et la gestion du commerce de détail sur 3 ans, avec des cours comme la Gestion de la Chaîne d'Approvisionnement et le Comportement des Consommateurs. Les diplômés excellent dans les rôles de vente et de distribution. Découvrez les détails en ligne.","commerce_distribution","https://isetsf.rnu.tn/fr/formation/licence-nationale/sciences-economiques-et-de-gestion/commerce-distribution"
"What is the National License in Computer Technology?|Qu'est-ce que la Licence Nationale en Technologie de l'Informatique ?","This 3-year program covers programming, networking, and database management, with courses like Java Programming and Network Security. Graduates are ready for IT careers. Check the curriculum on our website.|Ce programme de 3 ans couvre la programmation, les réseaux et la gestion de bases de données, avec des cours comme la Programmation Java et la Sécurité des Réseaux. Les diplômés sont prêts pour des carrières en informatique. Consultez le curriculum sur notre site.","computer_technology","https://isetsf.rnu.tn/fr/formation/licence-nationale/technologie-de-linformatique"
"What is the National License in Process Engineering?|Qu'est-ce que la Licence Nationale en Génie des Procédés ?","The 3-year National License in Process Engineering teaches industrial process design and optimization, with courses like Thermodynamics and Process Simulation. Graduates work in manufacturing and energy sectors. Learn more online.|La Licence Nationale en Génie des Procédés, d'une durée de 3 ans, enseigne la conception et l'optimisation des processus industriels, avec des cours comme la Thermodynamique et la Simulation de Processus. Les diplômés travaillent dans les secteurs de la fabrication et de l'énergie. En savoir plus en ligne.","process_engineering","https://isetsf.rnu.tn/fr/formation/licence-nationale/genie-des-procedes"
"What is the National License in Civil Engineering?|Qu'est-ce que la Licence Nationale en Génie Civil ?","This 3-year program trains students in structural design and construction management, with courses like Structural Analysis and Project Management. Graduates pursue careers in infrastructure development. Visit our page for details.|Ce programme de 3 ans forme les étudiants à la conception structurelle et à la gestion de la construction, avec des cours comme l'Analyse Structurelle et la Gestion de Projets. Les diplômés poursuivent des carrières dans le développement des infrastructures. Visitez notre page pour plus de détails.","civil_engineering","https://isetsf.rnu.tn/fr/formation/licence-nationale/genie-civil"
